id,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,2,3,yes,no,no,no,yes,2,yes,furnished
1,4,4,yes,no,no,no,yes,3,no,furnished
2,2,2,yes,no,yes,no,no,2,yes,semi-furnished
3,2,2,yes,no,yes,no,yes,3,yes,furnished
4,1,2,yes,yes,yes,no,yes,2,no,furnished
5,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
6,3,4,yes,no,no,no,yes,2,yes,semi-furnished
7,3,2,yes,no,no,no,no,0,no,unfurnished
8,1,2,yes,yes,yes,no,yes,2,yes,furnished
9,2,4,yes,yes,no,no,yes,1,yes,unfurnished
10,1,2,yes,no,yes,no,yes,2,yes,furnished
11,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
12,2,2,yes,no,no,no,yes,1,yes,semi-furnished
13,2,2,yes,no,no,yes,no,2,no,furnished
14,2,2,yes,no,no,no,no,0,yes,semi-furnished
15,1,2,yes,no,yes,no,no,2,no,semi-furnished
16,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
17,2,4,yes,no,no,no,yes,2,no,furnished
18,2,2,yes,yes,no,no,yes,2,no,furnished
19,2,2,yes,no,no,no,yes,1,yes,semi-furnished
20,1,2,yes,no,yes,yes,no,2,no,semi-furnished
21,2,1,yes,yes,yes,no,yes,2,no,unfurnished
22,1,1,yes,yes,yes,no,yes,1,no,furnished
23,2,2,yes,yes,yes,no,yes,1,no,furnished
24,2,2,yes,no,no,no,yes,2,no,furnished
25,2,2,yes,yes,yes,no,yes,2,yes,furnished
26,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
27,1,1,yes,no,no,no,no,1,no,semi-furnished
28,2,2,yes,no,yes,yes,no,2,no,unfurnished
29,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
30,2,4,yes,no,no,no,yes,2,no,unfurnished
31,1,4,yes,no,no,no,yes,2,no,semi-furnished
32,2,2,yes,no,no,no,yes,1,yes,furnished
33,3,2,yes,yes,yes,no,no,1,no,unfurnished
34,1,2,yes,yes,yes,no,yes,1,no,furnished
35,2,4,yes,no,no,no,yes,2,no,furnished
36,2,3,yes,no,no,yes,no,1,yes,furnished
37,2,4,yes,no,no,no,yes,2,no,furnished
38,1,4,yes,yes,no,no,yes,2,no,unfurnished
39,2,4,yes,no,no,no,yes,1,no,semi-furnished
40,1,2,yes,no,yes,no,yes,0,yes,furnished
41,2,4,yes,no,no,no,yes,0,yes,furnished
42,2,4,yes,no,no,no,yes,2,no,unfurnished
43,2,4,yes,no,no,no,no,2,no,semi-furnished
44,2,4,yes,no,no,no,yes,1,no,furnished
45,2,3,yes,no,no,no,yes,0,no,semi-furnished
46,2,4,yes,no,no,no,yes,1,no,furnished
47,1,4,yes,no,no,no,yes,3,yes,furnished
48,2,2,yes,no,yes,no,no,1,no,unfurnished
49,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
50,2,4,yes,no,no,no,no,1,yes,unfurnished
51,1,4,yes,no,no,no,yes,1,no,unfurnished
52,2,4,yes,yes,no,no,yes,1,no,furnished
53,2,4,yes,no,no,no,yes,2,no,semi-furnished
54,2,2,yes,yes,no,no,yes,1,no,semi-furnished
55,1,2,yes,no,no,no,yes,1,no,unfurnished
56,1,2,yes,no,yes,no,no,1,yes,semi-furnished
57,2,4,yes,yes,no,no,yes,1,yes,furnished
58,2,4,yes,yes,no,no,yes,1,no,semi-furnished
59,2,4,yes,yes,no,no,yes,1,no,furnished
60,2,2,yes,yes,no,no,no,1,no,semi-furnished
61,1,1,yes,no,no,no,yes,1,no,semi-furnished
62,2,2,yes,no,no,no,yes,1,no,furnished
63,2,3,yes,no,no,no,yes,2,yes,furnished
64,1,1,yes,no,yes,no,yes,1,yes,furnished
65,2,2,yes,no,yes,no,yes,1,no,furnished
66,1,1,yes,no,yes,yes,no,1,no,furnished
67,2,1,yes,no,no,no,no,2,no,unfurnished
68,1,1,yes,no,no,no,yes,1,no,furnished
69,2,2,yes,no,no,no,no,2,yes,furnished
70,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
71,2,4,yes,no,no,no,yes,0,no,unfurnished
72,1,4,yes,no,no,no,yes,0,yes,unfurnished
73,2,4,yes,no,yes,no,no,0,yes,furnished
74,1,2,yes,no,yes,yes,no,1,no,furnished
75,2,2,yes,no,no,yes,no,0,no,semi-furnished
76,2,3,yes,no,no,no,yes,0,yes,furnished
77,2,3,yes,no,no,no,yes,0,yes,furnished
78,1,1,yes,yes,yes,no,yes,2,yes,furnished
79,2,3,yes,yes,no,no,yes,0,no,furnished
80,1,2,yes,no,no,yes,no,1,yes,semi-furnished
81,2,2,yes,no,yes,no,yes,1,no,semi-furnished
82,2,1,yes,no,yes,no,yes,1,yes,furnished
83,2,4,yes,no,no,no,yes,0,no,semi-furnished
84,1,2,yes,no,no,yes,no,2,no,semi-furnished
85,2,3,yes,no,no,no,yes,0,no,furnished
86,1,3,yes,no,yes,no,no,0,yes,unfurnished
87,1,1,yes,no,yes,no,no,2,no,semi-furnished
88,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
89,3,2,yes,no,no,no,no,2,no,furnished
90,1,2,yes,no,no,no,yes,0,no,semi-furnished
91,1,1,yes,yes,yes,no,no,2,yes,furnished
92,2,4,yes,yes,no,no,yes,0,no,furnished
93,2,1,yes,no,yes,no,yes,3,no,semi-furnished
94,2,4,yes,no,no,no,no,1,no,semi-furnished
95,2,3,yes,no,no,no,yes,2,no,semi-furnished
96,1,1,yes,no,yes,no,no,1,yes,furnished
97,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
98,2,3,yes,no,no,no,yes,0,yes,unfurnished
99,1,3,yes,yes,yes,no,no,0,yes,unfurnished
100,2,1,yes,no,yes,no,yes,0,yes,unfurnished
101,1,3,yes,no,no,no,no,1,yes,unfurnished
102,2,4,yes,yes,no,no,yes,1,no,semi-furnished
103,2,3,yes,yes,no,no,yes,0,no,furnished
104,2,1,yes,yes,yes,no,no,2,yes,furnished
105,1,4,yes,no,no,no,yes,0,no,unfurnished
106,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
107,1,3,yes,no,yes,no,no,0,yes,unfurnished
108,1,3,yes,no,no,no,no,1,no,semi-furnished
109,2,2,yes,yes,no,yes,no,1,no,semi-furnished
110,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
111,1,3,yes,no,no,no,yes,2,no,unfurnished
112,2,2,yes,no,no,no,no,0,no,furnished
113,1,1,yes,no,yes,no,no,2,yes,furnished
114,1,1,yes,yes,yes,no,no,2,no,furnished
115,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
116,2,1,yes,yes,yes,no,no,0,yes,unfurnished
117,1,2,yes,yes,no,no,yes,0,no,furnished
118,1,1,yes,no,yes,no,yes,0,yes,furnished
119,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
120,1,1,yes,yes,yes,no,no,2,yes,furnished
121,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
122,2,1,yes,no,yes,no,no,1,yes,semi-furnished
123,2,2,yes,no,no,no,no,0,no,furnished
124,2,4,yes,no,no,no,no,1,no,furnished
125,1,1,yes,no,no,no,yes,2,no,semi-furnished
126,1,1,yes,no,yes,no,no,2,yes,unfurnished
127,2,3,yes,no,no,no,yes,0,no,unfurnished
128,1,3,yes,yes,no,no,yes,1,no,furnished
129,1,3,yes,no,no,no,no,2,yes,semi-furnished
130,1,1,yes,yes,yes,no,no,0,no,unfurnished
131,1,4,yes,yes,no,no,no,0,no,semi-furnished
132,1,3,yes,no,no,no,yes,0,no,semi-furnished
133,1,3,yes,no,no,no,yes,0,no,unfurnished
134,1,1,yes,no,yes,no,no,2,yes,semi-furnished
135,2,4,yes,no,no,no,yes,0,no,unfurnished
136,2,2,yes,no,no,no,yes,2,no,unfurnished
137,1,2,yes,no,no,no,no,1,no,semi-furnished
138,1,3,yes,no,no,no,yes,0,no,semi-furnished
139,1,1,yes,yes,yes,no,yes,2,yes,furnished
140,2,4,yes,no,no,no,yes,0,no,unfurnished
141,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
142,2,2,yes,no,no,no,no,1,no,semi-furnished
143,2,3,no,no,yes,yes,no,0,no,unfurnished
144,1,2,yes,yes,yes,no,yes,1,no,furnished
145,1,4,yes,no,no,no,no,0,no,furnished
146,1,1,yes,no,no,no,no,1,no,semi-furnished
147,2,2,yes,no,no,no,no,1,no,semi-furnished
148,1,3,yes,no,no,no,no,0,yes,semi-furnished
149,2,1,yes,no,yes,no,no,0,yes,semi-furnished
150,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
151,1,2,yes,no,no,no,yes,2,yes,semi-furnished
152,1,2,yes,yes,yes,no,yes,0,yes,furnished
153,3,2,yes,no,yes,no,no,0,no,semi-furnished
154,2,2,yes,no,no,no,no,2,no,semi-furnished
155,2,1,yes,no,yes,no,no,2,yes,furnished
156,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
157,2,2,no,yes,yes,no,no,1,no,furnished
158,1,1,yes,no,no,no,no,2,no,semi-furnished
159,2,1,yes,yes,yes,no,yes,0,no,furnished
160,1,4,yes,yes,no,no,yes,0,no,furnished
161,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
162,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
163,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
164,2,2,yes,yes,yes,no,no,1,yes,furnished
165,2,1,yes,yes,yes,yes,no,0,no,unfurnished
166,1,1,yes,no,yes,no,yes,2,yes,unfurnished
167,2,1,yes,no,no,no,yes,2,no,semi-furnished
168,1,2,yes,no,yes,no,yes,0,no,furnished
169,2,2,no,no,no,no,yes,0,no,semi-furnished
170,2,1,yes,no,yes,no,no,0,no,semi-furnished
171,1,1,yes,no,no,no,no,1,yes,semi-furnished
172,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
173,2,1,yes,no,no,no,yes,0,yes,unfurnished
174,1,2,yes,yes,yes,no,no,1,yes,unfurnished
175,2,2,yes,yes,no,no,no,2,no,semi-furnished
176,1,1,yes,no,no,no,yes,2,no,furnished
177,1,1,yes,no,yes,no,no,0,yes,semi-furnished
178,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
179,2,2,yes,no,no,no,no,2,no,semi-furnished
180,2,1,no,no,yes,no,yes,2,no,semi-furnished
181,1,2,yes,yes,yes,no,no,1,yes,furnished
182,1,2,no,no,no,no,yes,0,no,semi-furnished
183,1,1,yes,no,no,no,no,1,yes,semi-furnished
184,2,2,yes,yes,yes,no,no,0,no,furnished
185,1,2,yes,no,yes,no,no,0,no,unfurnished
186,1,2,yes,no,no,no,no,0,yes,furnished
187,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
188,1,2,yes,no,no,no,yes,0,yes,unfurnished
189,1,1,no,yes,yes,no,no,0,no,semi-furnished
190,1,2,yes,no,no,no,yes,2,no,furnished
191,1,2,yes,yes,yes,no,no,0,no,semi-furnished
192,1,1,yes,yes,yes,no,no,0,yes,furnished
193,1,1,yes,yes,yes,no,no,0,no,semi-furnished
194,2,1,yes,yes,yes,no,no,0,no,semi-furnished
195,3,2,yes,no,yes,no,no,2,no,semi-furnished
196,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
197,2,2,no,no,yes,no,yes,1,no,semi-furnished
198,1,2,yes,no,no,no,yes,0,no,semi-furnished
199,1,2,yes,no,no,no,no,1,no,furnished
